customer_id,customer_name,customer_segment,country,region
C00108,Barbara Ali,Corporate,Australia,Asia Pacific
C00109,Lucas Anderson,Consumer,United Kingdom,Europe
C00110,Omar Garcia,Consumer,China,Asia Pacific
C00111,Clara Miller,Consumer,United States,North America
C00112,David Harris,Corporate,Italy,Europe
C00113,James Chen,Home Office,Spain,Europe
C00114,Ahmed Harris,Consumer,Brazil,South America
C00115,Elizabeth Ahmed,Corporate,Brazil,South America
C00116,Fatima Kumar,Consumer,UAE,Middle East & Africa
C00117,Mia Martin,Corporate,Canada,North America
C00118,Robert Robinson,Home Office,Italy,Europe
C00119,Liam Jones,Consumer,Italy,Europe
C00120,Emma Johnson,Corporate,Italy,Europe
C00121,Mia Santos,Consumer,South Korea,Asia Pacific
C00122,Susan Kim,Consumer,South Africa,Middle East & Africa
C00123,Amir Khan,Corporate,Nigeria,Middle East & Africa
C00124,Barbara Leroy,Home Office,Mexico,North America
C00125,Thomas Patel,Consumer,Brazil,South America
C00126,Isabella Martin,Consumer,China,Asia Pacific
C00127,Wei Chen,Consumer,Saudi Arabia,Middle East & Africa
C00128,Karen Jackson,Consumer,Japan,Asia Pacific
C00129,Felix Santos,Home Office,United Kingdom,Europe
C00130,Mia Weber,Consumer,United States,North America
C00131,Jessica Anderson,Consumer,UAE,Middle East & Africa
C00132,Fatima Li,Consumer,United States,North America
C00133,Pierre Yamamoto,Consumer,Saudi Arabia,Middle East & Africa
C00134,Hanna Jones,Corporate,China,Asia Pacific
C00135,Felix Park,Consumer,Colombia,South America
C00136,Mia Ferrari,Consumer,India,Asia Pacific
C00137,Omar Leroy,Corporate,Canada,North America
C00138,Carlos Smith,Home Office,United States,North America
C00139,Barbara Russo,Corporate,Spain,Europe
C00140,Fatima Singh,Corporate,Argentina,South America
C00141,Olga Russo,Consumer,Australia,Asia Pacific
C00142,Emma Pereira,Consumer,Canada,North America
C00143,Thomas Chen,Consumer,Spain,Europe
C00144,Carlos Anderson,Home Office,Saudi Arabia,Middle East & Africa
C00145,Ayumi Johnson,Consumer,Mexico,North America
C00146,Hans Santos,Consumer,Canada,North America
C00147,Thomas Oliveira,Corporate,United States,North America
C00148,Oscar Taylor,Home Office,China,Asia Pacific
C00149,Emma Brown,Consumer,Spain,Europe
C00150,Susan White,Corporate,Japan,Asia Pacific
C00151,Nadia Weber,Consumer,Italy,Europe
C00152,James Anderson,Corporate,United States,North America
C00153,Olga Zhang,Corporate,South Africa,Middle East & Africa
C00154,Nadia Santos,Consumer,Argentina,South America
C00155,Lucas Kim,Consumer,Saudi Arabia,Middle East & Africa
C00156,Hans Laurent,Consumer,South Africa,Middle East & Africa
C00157,William Nilsson,Corporate,Spain,Europe
C00158,James Sharma,Corporate,Mexico,North America
C00159,Ava Ferrari,Home Office,Colombia,South America
C00160,Priya Zhang,Corporate,Mexico,North America
C00161,Richard Harris,Corporate,France,Europe
C00162,Richard Ali,Consumer,Mexico,North America
C00163,Richard Müller,Consumer,United States,North America
C00164,Diego Johansson,Consumer,Japan,Asia Pacific
C00165,Jamal Ferrari,Consumer,India,Asia Pacific
C00166,Li Pereira,Corporate,India,Asia Pacific
C00167,Olga Leroy,Home Office,Germany,Europe
C00168,Michael Yamamoto,Corporate,Colombia,South America
C00169,Michael Ferrari,Home Office,Japan,Asia Pacific
C00170,Priya Park,Consumer,Canada,North America
C00171,Olga Hassan,Corporate,South Korea,Asia Pacific
C00172,Maria Schmidt,Consumer,South Korea,Asia Pacific
C00173,Maria Martinez,Consumer,Mexico,North America
C00174,Hans Fischer,Corporate,Canada,North America
C00175,Lucas Chen,Consumer,Australia,Asia Pacific
C00176,Priya Jones,Consumer,Saudi Arabia,Middle East & Africa
C00177,Sophie Thomas,Consumer,Nigeria,Middle East & Africa
C00178,Jessica Sato,Consumer,Australia,Asia Pacific
C00179,Giulia Brown,Corporate,South Korea,Asia Pacific
C00180,Li Taylor,Consumer,Mexico,North America
C00181,Ahmed Miller,Consumer,France,Europe
C00182,Barbara Thomas,Corporate,UAE,Middle East & Africa
C00183,Clara Oliveira,Consumer,Canada,North America
C00184,Carlos Wang,Corporate,United States,North America
C00185,Li White,Corporate,Japan,Asia Pacific
C00186,Felix Miller,Consumer,South Korea,Asia Pacific
C00187,Sakura Dubois,Consumer,Germany,Europe
C00188,Barbara Suzuki,Consumer,Canada,North America
C00189,Zara Patel,Corporate,South Africa,Middle East & Africa
C00190,Wei Johansson,Corporate,India,Asia Pacific
C00191,Sarah Robinson,Home Office,Germany,Europe
C00192,Omar Williams,Corporate,Japan,Asia Pacific
C00193,Karen Moreau,Consumer,China,Asia Pacific
C00194,Christopher Park,Consumer,Germany,Europe
C00195,Kenji Jones,Consumer,India,Asia Pacific
C00196,Marco Taylor,Consumer,Mexico,North America
C00197,Li Yamamoto,Consumer,China,Asia Pacific
C00198,Ava Fischer,Corporate,Australia,Asia Pacific
C00199,Mia Smith,Consumer,Canada,North America
C00200,Ivan Anderson,Corporate,China,Asia Pacific
C00201,Raj Thomas,Consumer,Mexico,North America
C00202,Jamal Schmidt,Home Office,South Korea,Asia Pacific
C00203,Priya Chen,Home Office,Mexico,North America
C00204,Kenji Romano,Consumer,China,Asia Pacific
C00205,Pierre Fischer,Consumer,Japan,Asia Pacific
C00206,Ali Miller,Consumer,Mexico,North America
C00207,John Robinson,Consumer,Canada,North America
C00208,Wei Sato,Corporate,Australia,Asia Pacific
C00209,Amir Garcia,Corporate,France,Europe
C00210,Layla Santos,Corporate,Germany,Europe
C00211,Christopher Taylor,Consumer,Canada,North America
C00212,Chen Thompson,Consumer,Argentina,South America
C00213,Barbara Sharma,Corporate,France,Europe
C00214,Diego Jackson,Corporate,South Korea,Asia Pacific
C00215,Ayumi Ahmed,Consumer,South Korea,Asia Pacific
C00216,Fatima Laurent,Home Office,Argentina,South America
C00217,Olivia Kumar,Corporate,India,Asia Pacific
C00218,Raj Rossi,Consumer,Mexico,North America
C00219,Patricia Dubois,Corporate,Mexico,North America
C00220,Robert Jackson,Corporate,France,Europe
C00221,Jennifer Costa,Consumer,Mexico,North America
C00222,Ivan Li,Home Office,Brazil,South America
C00223,Nadia Brown,Home Office,South Korea,Asia Pacific
C00224,Emma Johansson,Corporate,Canada,North America
C00225,Diego Schmidt,Corporate,South Africa,Middle East & Africa
C00226,Clara Jackson,Consumer,Australia,Asia Pacific
C00227,Jamal Clark,Consumer,South Korea,Asia Pacific
C00228,Pierre Fischer,Corporate,Saudi Arabia,Middle East & Africa
C00229,Lucas Khan,Consumer,United States,North America
C00230,Chen Romano,Home Office,France,Europe
C00231,Sophie Yamamoto,Consumer,United States,North America
C00232,Hans Johnson,Home Office,India,Asia Pacific
C00233,Patricia Müller,Consumer,Mexico,North America
C00234,Ahmed Taylor,Home Office,China,Asia Pacific
C00235,Zara Rodriguez,Consumer,Mexico,North America
C00236,Clara Santos,Corporate,Mexico,North America
C00237,Hanna Davis,Consumer,United Kingdom,Europe
C00238,Barbara Rossi,Home Office,China,Asia Pacific
C00239,Oscar Santos,Corporate,Canada,North America
C00240,Patricia Chen,Home Office,United Kingdom,Europe
C00241,Ahmed Dubois,Consumer,Spain,Europe
C00242,Kenji Robinson,Consumer,Mexico,North America
C00243,Robert Sharma,Consumer,Australia,Asia Pacific
C00244,Chen Smith,Corporate,Germany,Europe
C00245,Kenji Leroy,Corporate,Japan,Asia Pacific
C00246,Richard Li,Consumer,Spain,Europe
C00247,Karen Anderson,Consumer,Italy,Europe
C00248,Zara Kim,Corporate,Mexico,North America
C00249,Jennifer Nilsson,Consumer,Japan,Asia Pacific
C00250,Christopher Harris,Consumer,Australia,Asia Pacific
C00251,Marco Martin,Consumer,Australia,Asia Pacific
C00252,Emma Zhang,Corporate,Saudi Arabia,Middle East & Africa
C00253,David Smith,Corporate,France,Europe
C00254,Wei Romano,Consumer,Nigeria,Middle East & Africa
C00255,Zara Rodriguez,Corporate,United Kingdom,Europe
C00256,Zara Ferrari,Consumer,United States,North America
C00257,Omar Garcia,Corporate,China,Asia Pacific
C00258,Hans Yamamoto,Consumer,South Korea,Asia Pacific
C00259,Nadia Costa,Consumer,United States,North America
C00260,Mia Sharma,Consumer,United States,North America
C00261,William Hassan,Corporate,Saudi Arabia,Middle East & Africa
C00262,Ali Johansson,Home Office,Saudi Arabia,Middle East & Africa
C00263,Amir Chen,Consumer,Canada,North America
C00264,Ethan Park,Home Office,Canada,North America
C00265,Christopher Robinson,Consumer,Australia,Asia Pacific
C00266,Noah Khan,Home Office,United States,North America
C00267,Linda Smith,Consumer,United Kingdom,Europe
C00268,Isabella Jackson,Consumer,Italy,Europe
C00269,Sarah Kim,Corporate,United Kingdom,Europe
C00270,James Suzuki,Corporate,United States,North America
C00271,Wei Harris,Consumer,Japan,Asia Pacific
C00272,Thomas Li,Consumer,Mexico,North America
C00273,Michael Khan,Corporate,Mexico,North America
C00274,Isabella Ahmed,Consumer,India,Asia Pacific
C00275,Felix Hassan,Home Office,Italy,Europe
C00276,Amir Thompson,Corporate,South Africa,Middle East & Africa
C00277,Chen Miller,Consumer,Italy,Europe
C00278,Priya Jackson,Consumer,Italy,Europe
C00279,Karen Wang,Corporate,Saudi Arabia,Middle East & Africa
C00280,Carlos Dubois,Consumer,Brazil,South America
C00281,Raj Chen,Home Office,Japan,Asia Pacific
C00282,Xiao Taylor,Corporate,UAE,Middle East & Africa
C00283,Fatima Jackson,Home Office,Germany,Europe
C00284,William Clark,Corporate,Mexico,North America
C00285,Ahmed Garcia,Corporate,UAE,Middle East & Africa
C00286,Ayumi Robinson,Corporate,Australia,Asia Pacific
C00287,Mary Johansson,Consumer,India,Asia Pacific
C00288,Michael Martin,Consumer,Saudi Arabia,Middle East & Africa
C00289,Karen Sato,Corporate,Germany,Europe
C00290,Isabella Kumar,Corporate,Italy,Europe
C00291,Carlos Rodriguez,Consumer,UAE,Middle East & Africa
C00292,James Tanaka,Consumer,Saudi Arabia,Middle East & Africa
C00293,Priya Thomas,Consumer,Italy,Europe
C00294,Mia Harris,Corporate,Canada,North America
C00295,Olga Nilsson,Consumer,Canada,North America
C00296,Olga Patel,Consumer,Japan,Asia Pacific
C00297,Priya Schmidt,Corporate,Spain,Europe
C00298,Noah Jones,Home Office,Australia,Asia Pacific
C00299,Oscar Schmidt,Consumer,Australia,Asia Pacific
C00300,Marco Harris,Consumer,UAE,Middle East & Africa
C00301,Giulia Johnson,Corporate,Mexico,North America
C00302,Sophie Harris,Consumer,India,Asia Pacific
C00303,Lucas Chen,Corporate,Saudi Arabia,Middle East & Africa
C00304,Robert Smith,Home Office,South Africa,Middle East & Africa
C00305,Ingrid Khan,Home Office,Mexico,North America
C00306,Lucas White,Home Office,Canada,North America
C00307,Nadia Jackson,Corporate,United States,North America
C00308,Chen Jones,Home Office,Japan,Asia Pacific
C00309,Susan Miller,Corporate,Mexico,North America
C00310,Priya Thomas,Home Office,Argentina,South America
C00311,Ahmed Thompson,Consumer,Italy,Europe
C00312,Diego Kim,Home Office,Spain,Europe
C00313,Priya Martinez,Consumer,Japan,Asia Pacific
C00314,Giulia Dubois,Consumer,Brazil,South America
C00315,Carlos Schmidt,Corporate,United Kingdom,Europe
C00316,Oscar Johnson,Consumer,United States,North America
C00317,Jennifer Garcia,Consumer,Canada,North America
C00318,Noah Santos,Consumer,South Korea,Asia Pacific
C00319,Elizabeth Harris,Corporate,Mexico,North America
C00320,Ali Jones,Consumer,Mexico,North America
C00321,Jamal Harris,Corporate,Saudi Arabia,Middle East & Africa
C00322,Elizabeth Williams,Corporate,Italy,Europe
C00323,Lucas Suzuki,Corporate,Brazil,South America
C00324,Clara Nilsson,Consumer,Japan,Asia Pacific
C00325,Ali Harris,Consumer,Australia,Asia Pacific
C00326,Hans Singh,Home Office,Spain,Europe
C00327,Olga Schmidt,Consumer,South Korea,Asia Pacific
C00328,David Thompson,Consumer,Germany,Europe
C00329,Priya Ali,Home Office,United Kingdom,Europe
C00330,Jamal Jones,Consumer,Canada,North America
C00331,Thomas Thompson,Consumer,India,Asia Pacific
C00332,Fatima Costa,Corporate,India,Asia Pacific
C00333,Diego Davis,Corporate,Spain,Europe
C00334,Omar Müller,Consumer,China,Asia Pacific
C00335,Mary Weber,Corporate,Canada,North America
C00336,Amina Johansson,Corporate,Spain,Europe
C00337,Liam Clark,Consumer,Argentina,South America
C00338,Ethan Chen,Corporate,Canada,North America
C00339,Clara Williams,Consumer,Argentina,South America
C00340,Christopher Davis,Consumer,France,Europe
C00341,James Taylor,Consumer,China,Asia Pacific
C00342,Chen Johnson,Consumer,Nigeria,Middle East & Africa
C00343,Fatima Smith,Corporate,Colombia,South America
C00344,Lucas Jones,Consumer,Argentina,South America
C00345,Karen Thomas,Corporate,United States,North America
C00346,Priya Nilsson,Consumer,UAE,Middle East & Africa
C00347,Elizabeth Sato,Consumer,UAE,Middle East & Africa
C00348,Sakura Jones,Corporate,Saudi Arabia,Middle East & Africa
C00349,Xiao Smith,Consumer,Brazil,South America
C00350,Robert Park,Consumer,United States,North America
C00351,Joseph Johnson,Corporate,United States,North America
C00352,Liam Wang,Consumer,China,Asia Pacific
C00353,Olivia Sharma,Corporate,UAE,Middle East & Africa
C00354,William Martinez,Corporate,South Korea,Asia Pacific
C00355,Felix Costa,Home Office,Saudi Arabia,Middle East & Africa
C00356,Noah Smith,Corporate,France,Europe
C00357,Thomas Chen,Corporate,Brazil,South America
C00358,Olivia Moreau,Consumer,Canada,North America
C00359,Noah Oliveira,Consumer,United Kingdom,Europe
C00360,Noah Russo,Home Office,Japan,Asia Pacific
C00361,Amir Singh,Corporate,Mexico,North America
C00362,Mary Miller,Consumer,Argentina,South America
C00363,Olivia Rossi,Consumer,Saudi Arabia,Middle East & Africa
C00364,Wei Li,Corporate,Mexico,North America
C00365,Sakura Rodriguez,Corporate,China,Asia Pacific
C00366,Christopher Rossi,Corporate,Japan,Asia Pacific
C00367,Michael Rodriguez,Consumer,Brazil,South America
C00368,Hans Anderson,Consumer,Colombia,South America
C00369,Liam Johansson,Corporate,South Africa,Middle East & Africa
C00370,James Schmidt,Consumer,India,Asia Pacific
C00371,Wei Yamamoto,Corporate,Spain,Europe
C00372,Linda Brown,Consumer,Mexico,North America
C00373,Jamal Ahmed,Corporate,Mexico,North America
C00374,Ahmed Singh,Home Office,United Kingdom,Europe
C00375,Pierre Wang,Consumer,France,Europe
C00376,Ivan Davis,Corporate,Australia,Asia Pacific
C00377,Giulia Taylor,Corporate,Brazil,South America
C00378,Hanna Rossi,Consumer,Germany,Europe
C00379,William Kim,Consumer,Canada,North America
C00380,Giulia Pereira,Consumer,South Korea,Asia Pacific
C00381,Barbara Hassan,Consumer,Australia,Asia Pacific
C00382,Karen Zhang,Home Office,India,Asia Pacific
C00383,Clara Clark,Home Office,Mexico,North America
C00384,Oscar White,Corporate,United States,North America
C00385,John Brown,Consumer,Germany,Europe
C00386,Amina Ali,Consumer,United States,North America
C00387,Oscar Thomas,Home Office,Canada,North America
C00388,Karen Russo,Consumer,France,Europe
C00389,Susan Wang,Consumer,Argentina,South America
C00390,Fatima Patel,Home Office,Mexico,North America
C00391,Ethan Kim,Corporate,Colombia,South America
C00392,Jennifer Garcia,Consumer,Argentina,South America
C00393,Kenji Suzuki,Corporate,Canada,North America
C00394,Wei Santos,Corporate,Canada,North America
C00395,Liam Pereira,Home Office,Australia,Asia Pacific
C00396,Ava Clark,Corporate,Nigeria,Middle East & Africa
C00397,Mary Hassan,Home Office,United States,North America
C00398,Felix Smith,Consumer,United Kingdom,Europe
C00399,Barbara Jones,Consumer,Mexico,North America
C00400,Christopher Williams,Home Office,Australia,Asia Pacific
C00401,Priya Weber,Consumer,Saudi Arabia,Middle East & Africa
C00402,Patricia Jackson,Corporate,Italy,Europe
C00403,Xiao Laurent,Consumer,Japan,Asia Pacific
C00404,Jamal Leroy,Home Office,Brazil,South America
C00405,Liam Ali,Home Office,Italy,Europe
C00406,Barbara Ali,Consumer,Brazil,South America
C00407,Ivan Pereira,Home Office,Saudi Arabia,Middle East & Africa
C00408,Omar Singh,Consumer,South Africa,Middle East & Africa
C00409,Ethan Rodriguez,Corporate,Italy,Europe
C00410,Pierre Romano,Consumer,Canada,North America
C00411,Omar Park,Consumer,United Kingdom,Europe
C00412,Michael Khan,Corporate,Canada,North America
C00413,Richard Tanaka,Consumer,South Africa,Middle East & Africa
C00414,Ayumi Martin,Consumer,Nigeria,Middle East & Africa
C00415,Omar Hassan,Consumer,China,Asia Pacific
C00416,Giulia Anderson,Consumer,India,Asia Pacific
C00417,Chen Rodriguez,Home Office,Spain,Europe
C00418,Mia Davis,Consumer,South Korea,Asia Pacific
C00419,Isabella Taylor,Corporate,Mexico,North America
C00420,Mary Martin,Corporate,Japan,Asia Pacific
C00421,Priya Jackson,Consumer,Mexico,North America
C00422,Mary Chen,Home Office,Germany,Europe
C00423,Omar Park,Corporate,Mexico,North America
C00424,Clara Tanaka,Corporate,UAE,Middle East & Africa
C00425,Clara Robinson,Home Office,France,Europe
C00426,Michael Ali,Consumer,Germany,Europe
C00427,Yuki Zhang,Consumer,United States,North America
C00428,David Clark,Consumer,Germany,Europe
C00429,John Laurent,Consumer,Mexico,North America
C00430,Ethan Yamamoto,Home Office,Australia,Asia Pacific
C00431,Olga Leroy,Consumer,India,Asia Pacific
C00432,Noah Taylor,Consumer,United States,North America
C00433,Amina Johansson,Consumer,United Kingdom,Europe
C00434,Hans Smith,Consumer,Australia,Asia Pacific
C00435,Yuki Rodriguez,Corporate,Mexico,North America
C00436,Jamal Clark,Consumer,South Africa,Middle East & Africa
C00437,Sarah Jackson,Home Office,Brazil,South America
C00438,Thomas Santos,Consumer,United States,North America
C00439,Chen Patel,Home Office,Japan,Asia Pacific
C00440,Maria Rodriguez,Consumer,United States,North America
C00441,Olga Taylor,Consumer,United States,North America
C00442,Omar Russo,Home Office,Australia,Asia Pacific
C00443,Sakura Ali,Consumer,Nigeria,Middle East & Africa
C00444,Marco Sato,Consumer,Mexico,North America
C00445,Sophie Brown,Corporate,Mexico,North America
C00446,Diego Harris,Consumer,Italy,Europe
C00447,Noah Moreau,Corporate,Italy,Europe
C00448,Chen Garcia,Consumer,China,Asia Pacific
C00449,Fatima Wang,Consumer,India,Asia Pacific
C00450,Hanna Santos,Home Office,South Korea,Asia Pacific
C00451,Ingrid Weber,Corporate,United States,North America
C00452,Ali Johnson,Corporate,Mexico,North America
C00453,Hanna Khan,Consumer,Colombia,South America
C00454,Liam Laurent,Consumer,Mexico,North America
C00455,Elizabeth Martin,Consumer,United Kingdom,Europe
C00456,Joseph Martinez,Home Office,Canada,North America
C00457,Ali Johansson,Corporate,United States,North America
C00458,Michael Li,Corporate,Canada,North America
C00459,Lucas Thomas,Corporate,China,Asia Pacific
C00460,Ahmed Sharma,Home Office,United States,North America
C00461,Kenji Taylor,Consumer,Japan,Asia Pacific
C00462,James Clark,Consumer,South Africa,Middle East & Africa
C00463,Xiao Wang,Consumer,Argentina,South America
C00464,Layla Fischer,Corporate,China,Asia Pacific
C00465,Sarah Khan,Home Office,Brazil,South America
C00466,Lucas Leroy,Corporate,Spain,Europe
C00467,Jessica Tanaka,Consumer,Canada,North America
C00468,Jessica Wang,Home Office,Mexico,North America
C00469,Sarah Davis,Consumer,Saudi Arabia,Middle East & Africa
C00470,Sarah Thompson,Consumer,Brazil,South America
C00471,Isabella Patel,Consumer,Canada,North America
C00472,Lucas Oliveira,Consumer,Spain,Europe
C00473,Olivia Ferrari,Home Office,Australia,Asia Pacific
C00474,Xiao Ferrari,Home Office,France,Europe
C00475,Marco Nilsson,Consumer,Japan,Asia Pacific
C00476,Mary Smith,Corporate,Nigeria,Middle East & Africa
C00477,John Patel,Consumer,Japan,Asia Pacific
C00478,Ayumi Ali,Corporate,Spain,Europe
C00479,Sophie Clark,Home Office,China,Asia Pacific
C00480,Priya Garcia,Corporate,Japan,Asia Pacific
C00481,Emma Martinez,Home Office,Nigeria,Middle East & Africa
C00482,Fatima Martin,Home Office,Australia,Asia Pacific
C00483,Jamal Robinson,Corporate,Nigeria,Middle East & Africa
C00484,Carlos Santos,Corporate,UAE,Middle East & Africa
C00485,Omar Li,Corporate,Colombia,South America
C00486,Noah Johansson,Home Office,Italy,Europe
C00487,Hanna Yamamoto,Consumer,Japan,Asia Pacific
C00488,William Yamamoto,Corporate,China,Asia Pacific
C00489,Joseph Leroy,Consumer,Colombia,South America
C00490,Giulia Khan,Home Office,United States,North America
C00491,Diego Pereira,Home Office,Nigeria,Middle East & Africa
C00492,Raj Oliveira,Corporate,Brazil,South America
C00493,Ayumi Garcia,Corporate,Mexico,North America
C00494,Felix Kim,Corporate,Canada,North America
C00495,Zara Moreau,Consumer,Brazil,South America
C00496,Richard Romano,Corporate,Brazil,South America
C00497,Patricia Kim,Consumer,Australia,Asia Pacific
C00498,Patricia Martinez,Home Office,UAE,Middle East & Africa
C00499,Richard Moreau,Corporate,UAE,Middle East & Africa
C00500,Hanna Kumar,Consumer,Argentina,South America
C00501,Jessica Müller,Home Office,United Kingdom,Europe
C00502,Sarah Li,Consumer,Saudi Arabia,Middle East & Africa
C00503,Ingrid Moreau,Consumer,United States,North America
C00504,Robert Taylor,Home Office,Brazil,South America
C00505,Layla Oliveira,Home Office,Italy,Europe
C00506,Sophie Martinez,Corporate,Germany,Europe
C00507,Liam Davis,Consumer,United Kingdom,Europe
C00508,Christopher Thompson,Consumer,Australia,Asia Pacific
C00509,Olga Müller,Consumer,United States,North America
C00510,James Harris,Corporate,Canada,North America
C00511,Maria Tanaka,Corporate,UAE,Middle East & Africa
C00512,Isabella Li,Consumer,France,Europe
C00513,Kenji Romano,Corporate,Canada,North America
C00514,Oscar Thompson,Consumer,Germany,Europe
C00515,Amir Park,Consumer,UAE,Middle East & Africa
C00516,Ethan Clark,Consumer,South Korea,Asia Pacific
C00517,Barbara Weber,Home Office,United Kingdom,Europe
C00518,Susan Jackson,Corporate,France,Europe
C00519,Maria Costa,Corporate,South Africa,Middle East & Africa
C00520,Joseph Chen,Corporate,Italy,Europe
